Country,Year,Life expectancy,"Number of death due to tuberculosis, excluding HIV",Age-standarized suicide rates (per 100000 population),Total NCD Death(inthousands),Per adult national income,"School enrollment, tertiary (% gross)",Prevalence of undernourishment (% of population)
Afghanistan,2000,13.92,13000,7.71,1042,4021.6078,,47.8
Afghanistan,2010,15.12,12000,6.67,950.7,14463.3324,,21.2
Afghanistan,2015,15.59,13000,5.99,895.1,13946.0477,,21.5
Afghanistan,2019,15.21,9800,5.96,881.2,13512.7836,,26.9
Albania,2000,19,23,5.23,655.9,21554.0551,15.53660965,4.9
Albania,2010,21.31,9,7.63,505.9,37418.6112,44.54925156,5.8
Albania,2015,21.13,8,4.23,513.9,40068.4711,62.00762177,4.9
Albania,2019,21.03,8,3.72,601.9,43732.4986,59.7784996,4.3
Algeria,2000,19.81,2500,4.68,614.8,9425.2684,,8
Algeria,2010,21.37,3000,3,487.8,26266.7029,29.88942909,4.3
Algeria,2015,21.81,3200,2.72,460.7,28057.9335,36.78131866,2.8
Algeria,2019,22.04,2800,2.6,445.8,25059.3274,52.61994171,2.5
Angola,2000,14.42,12000,17.56,775,5290.4316,,67.5
Angola,2010,15.97,16000,14.21,682.3,15276.2993,,23.9
Angola,2015,16.71,16000,13.27,639.1,13326.4145,8.400939941,14.5
Angola,2019,16.98,17000,12.55,621.2,7372.1258,,17.9
Antigua and Barbuda,2000,20.27,1,2.01,535.6,3862.9223,,
Antigua and Barbuda,2010,20.5,1,0.13,498.3,6621.5126,16.72623062,
Antigua and Barbuda,2015,20.43,1,0.42,507.4,7789.5668,,
Antigua and Barbuda,2019,20.59,1,0.32,501.1,12763.8517,,
Argentina,2000,20.18,890,9.2,540.2,17885.1685,53.96480942,3
Argentina,2010,20.62,580,8.43,491.3,37678.1167,73.23139954,3.1
Argentina,2015,20.98,660,8.1,455.9,43820.2319,84.0019989,2.5
Argentina,2019,21.11,650,8.14,435.2,41635.7847,95.44790649,3.5
Armenia,2000,18.81,170,3.28,665.9,9120.5256,35.54978943,26.1
Armenia,2010,18.79,160,5.86,664.4,26176.0103,52.989151,3.7
Armenia,2015,19.42,68,4.7,604.7,31863.3997,46.52180099,2.8
Armenia,2019,20.41,35,2.66,525.9,39440.5524,51.48752975,3.1
Australia,2000,23.11,53,11.85,386.1,184849.7109,,2.5
Australia,2010,24.74,55,10.41,315.7,262738.7669,,2.5
Australia,2015,25.01,52,11.81,302.2,282411.0438,118.6108627,2.5
Australia,2019,25.62,44,11.25,278.5,310658.7152,115.9520416,2.5
Austria,2000,21.95,75,15.82,453.2,185974.1993,,2.5
Austria,2010,23.43,39,12.21,371.4,215496.549,75.6237793,2.5
Austria,2015,23.59,65,11.39,355.4,218466.1662,80.71942139,2.5
Austria,2019,24.09,41,10.4,329.4,239766.4288,86.47553253,2.5
Azerbaijan,2000,16.61,1600,3.42,857.3,4761.9266,,17
Azerbaijan,2010,16.36,820,4.53,897.8,26541.2233,19.26004028,2.5
Azerbaijan,2015,16.62,580,3.99,896.5,37957.4215,25.48320007,2.5
Azerbaijan,2019,17.06,600,3.97,839.4,37495.6955,31.54019928,2.5
Bahamas,2000,19.95,9,2.53,532.1,19620.0503,,
Bahamas,2010,20.7,2,3.66,548.5,42559.8436,,
Bahamas,2015,20.88,2,3.42,525.6,46075.4515,,
Bahamas,2019,20.84,2,3.37,532.3,51793.8934,,
Bahrain,2000,14.97,18,7.04,1002,70608.7359,,
Bahrain,2010,17.82,10,7.16,759.6,64220.3985,,
Bahrain,2015,19.67,7,6.32,569.1,77952.6867,43.27574921,
Bahrain,2019,19.01,8,7.2,644.3,67689.5387,55.62850952,
Bangladesh,2000,17.84,92000,6.87,596,5372.435,5.631340027,15.9
Bangladesh,2010,19.02,79000,4.82,558.7,9728.6367,,15.2
Bangladesh,2015,20.9,66000,3.64,454.6,12881.4714,13.78740978,14
Bangladesh,2019,20.86,39000,3.85,473.7,17672.8245,24.01688957,11
Barbados,2000,20.72,1,2.6,498.3,3880.3266,40.57286072,6.4
Barbados,2010,21.3,1,1.22,463.4,5508.1213,69.80744171,4.3
Barbados,2015,21.4,2,0.31,453.8,3364.8873,,4.3
Barbados,2019,20.92,2,0.31,475.9,5296.077,,3.7
Belgium,2000,21.63,110,18.3,444.8,249441.5677,58.16905975,2.5
Belgium,2010,23.11,62,16.52,369.4,304892.6967,67.82901001,2.5
Belgium,2015,23.59,61,14.41,341.4,320424.347,74.55976105,2.5
